Date,Time,Biomass,Dissolved_oxygen,pH,T_heater,T_liquid,T_sensor,T_amb,Power,PWM_feed,PWM_heater
08-01-2024_13-16-16,50,0.03,0.0,-3.511,22.424,22.559,21.958,22.064,-0.097,150.0,0.0
08-01-2024_13-16-16,50,0.03,0.0,-3.511,22.428,22.615,21.947,22.071,-0.085,150.0,0.0
08-01-2024_13-16-17,50,0.03,0.0,-3.511,22.425,22.513,21.938,22.071,-0.073,150.0,0.0
08-01-2024_13-16-17,50,0.03,0.0,-3.511,22.426,22.546,21.94,22.071,-0.085,150.0,0.0
08-01-2024_13-16-17,51,0.031,0.0,-3.511,22.426,22.525,21.938,22.061,-0.086,150.0,0.0
08-01-2024_13-16-17,51,0.03,0.0,-3.511,22.421,22.542,21.918,22.068,-0.084,150.0,0.0
08-01-2024_13-16-18,51,0.03,0.0,-3.511,22.43,22.624,21.921,22.071,-0.092,150.0,0.0
08-01-2024_13-16-18,51,0.031,0.0,-3.511,22.429,22.585,21.943,22.074,-0.092,150.0,0.0
08-01-2024_13-16-18,52,0.031,0.0,-3.511,22.421,22.575,21.94,22.069,-0.103,150.0,0.0
08-01-2024_13-16-18,52,0.031,0.0,-3.511,22.428,22.616,21.927,22.075,-0.09,150.0,0.0
08-01-2024_13-16-19,52,0.031,0.0,-3.511,22.431,22.589,21.943,22.072,-0.073,150.0,0.0
08-01-2024_13-16-19,52,0.031,0.0,-3.511,22.42,22.576,21.935,22.067,-0.08,150.0,0.0
08-01-2024_13-16-19,53,0.031,0.0,-3.511,22.421,22.655,21.942,22.072,-0.071,150.0,0.0
08-01-2024_13-16-19,53,0.03,0.0,-3.511,22.424,22.568,21.917,22.065,-0.066,150.0,0.0
08-01-2024_13-16-20,53,0.03,0.0,-3.511,22.419,22.585,21.959,22.069,-0.056,150.0,0.0
08-01-2024_13-16-20,53,0.03,0.0,-3.511,22.43,22.609,21.955,22.067,-0.073,150.0,0.0
08-01-2024_13-16-20,54,0.03,0.0,-3.511,22.42,22.583,21.915,22.063,-0.04,150.0,0.0
08-01-2024_13-16-20,54,0.031,0.0,-3.511,22.425,22.574,21.94,22.064,-0.066,150.0,0.0
08-01-2024_13-16-21,54,0.031,0.0,-3.511,22.427,22.56,21.955,22.068,-0.079,150.0,0.0
08-01-2024_13-16-21,54,0.031,0.0,-3.511,22.431,22.546,21.938,22.067,-0.093,150.0,0.0
